Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
21-Nov-14,Vane,Vane,Jumbo,Envigado,90598.00,0.00,6990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5511.00,,,,,,,,,,,,,,,,,,,,,5211.00,,,,,,,,,,21416.00,,,,,,6990.00,,,,,,,,,,,,204.00,,83608.00
21-Nov-15,Brando,Brando,Carulla,Envigado,34100.00,0.00,0.00,,,,,,,,7800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,6900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.00,,,4700.00,,,,,,,,9300.00,,,34100.00
21-Nov-16,Brando,Brando,Jumbo,Envigado,85703.00,0.00,0.00,,,47933.00,,,,33980.00,3790.00,,,,,,,,,,,,,,,,,,,,,,,,,,,20990.00,,,,,,,,,,,,,,,,,,,,,11863.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85703.00
21-Nov-19,Brando,Brando,Jumbo,Envigado,91885.00,0.00,0.00,,,,,,,20780.00,15160.00,,,,,,,,,,,,,,,,,,,,,,,,,,,14325.00,,,,,,,,,,,,,,,,,,,,,2131.00,,,,,,,,,,,,,,,,,,,,21980.00,23590.00,,,,,,,153.00,,91885.00
21-Nov-24,Brando,Brando,Jumbo,Envigado,169714.00,0.00,0.00,,,62673.00,,,,33580.00,15960.00,,,,,,,,,,,,,,,,,,,,,,,,,,,14998.00,,,,,,,,,,,,,,,,,,,,,13223.00,,,,,,,,,,,,,,,,25170.00,,,,8390.00,,,,,,,,153.00,,169714.00
21-Nov-28,los_dos,Vane,Jumbo,Envigado,47401.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900.00,,,,,,,,,,40400.00,,,,,,,,,,,,,,,,,,,,47401.00
21-Nov-29,Brando,Brando,Jumbo,Envigado,94519.00,9900.00,0.00,,,,,,,21980.00,21990.00,8590.00,,,,,,,,,,,,,,,,,,,,,,,,,,10331.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19980.00,,,7990.00,,,,,,,,,51.00,,84619.00
21-Dec-02,los_dos,Brando,Jumbo,Envigado,131039.00,0.00,0.00,,,,,,,9990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136.00,,,,,,,,,,21681.00,,,,,,11180.00,,,,,,,,,,,,102.00,,131039.00
21-Dec-05,Brando,Brando,Turbo,Envigado,49676.00,9310.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.00,,,,,,,,,,,,,,,,,,,,,,,,,28400.00,,11000.00,,,40366.00
21-Dec-06,Brando,Brando,Jumbo,Envigado,97002.00,12990.00,0.00,,,,,,,25980.00,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,26011.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590.00,16780.00,,,,,,,,51.00,,84012.00
21-Dec-08,los_dos,Brando,Jumbo,Envigado,126724.00,0.00,8990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19980.00,,,,,,,,43580.00,,,53970.00,204.00,,117734.00
21-Dec-13,los_dos,Brando,Jumbo,Envigado,147183.00,0.00,0.00,,,,,,25607.00,9990.00,21790.00,,,,,,,,,,,,,,,,,,,,,,,,,,,37361.00,,,,,,,,,,,,,,,,,,,,,3847.00,,,,,,,,,,,,,,,,20170.00,,,16380.00,,,,,6990.00,,,,,,147183.00
21-Dec-17,Brando,Brando,Jumbo,Envigado,115547.00,0.00,0.00,,,,,,,21980.00,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,41113.00,,,,,,,,,,,,,,,,,,,,,4038.00,,,,,,,,,,,,,,,,13580.00,,,4590.00,,,,,,,,,204.00,,115547.00
