Category: All categories

Week,NASDAQ:GOOG: (United States)
2008-01-06,60
2008-01-13,63
2008-01-20,74
2008-01-27,98
2008-02-03,78
2008-02-10,61
2008-02-17,55
2008-02-24,76
2008-03-02,60
2008-03-09,71
2008-03-16,67
2008-03-23,63
2008-03-30,55
2008-04-06,55
2008-04-13,99
2008-04-20,74
2008-04-27,59
2008-05-04,65
2008-05-11,58
2008-05-18,55
2008-05-25,49
2008-06-01,52
2008-06-08,51
2008-06-15,49
2008-06-22,49
2008-06-29,46
2008-07-06,47
2008-07-13,69
2008-07-20,50
2008-07-27,50
2008-08-03,44
2008-08-10,46
2008-08-17,40
2008-08-24,39
2008-08-31,49
2008-09-07,49
2008-09-14,57
2008-09-21,51
2008-09-28,90
2008-10-05,77
2008-10-12,90
2008-10-19,62
2008-10-26,51
2008-11-02,52
2008-11-09,60
2008-11-16,56
2008-11-23,47
2008-11-30,41
2008-12-07,44
2008-12-14,41
2008-12-21,37
2008-12-28,34
2009-01-04,37
2009-01-11,42
2009-01-18,51
2009-01-25,48
2009-02-01,47
2009-02-08,49
2009-02-15,43
2009-02-22,49
2009-03-01,43
2009-03-08,48
2009-03-15,47
2009-03-22,46
2009-03-29,43
2009-04-05,42
2009-04-12,59
2009-04-19,47
2009-04-26,45
2009-05-03,45
2009-05-10,46
2009-05-17,40
2009-05-24,41
2009-05-31,43
2009-06-07,42
2009-06-14,38
2009-06-21,39
2009-06-28,36
2009-07-05,40
2009-07-12,45
2009-07-19,38
2009-07-26,39
2009-08-02,40
2009-08-09,33
2009-08-16,36
2009-08-23,36
2009-08-30,35
2009-09-06,35
2009-09-13,37
2009-09-20,37
2009-09-27,42
2009-10-04,44
2009-10-11,52
2009-10-18,46
2009-10-25,41
2009-11-01,45
2009-11-08,44
2009-11-15,45
2009-11-22,45
2009-11-29,45
2009-12-06,46
2009-12-13,49
2009-12-20,45
2009-12-27,47
2010-01-03,52
2010-01-10,50
2010-01-17,55
2010-01-24,52
2010-01-31,50
2010-02-07,50
2010-02-14,50
2010-02-21,47
2010-02-28,47
2010-03-07,48
2010-03-14,51
2010-03-21,49
2010-03-28,52
2010-04-04,45
2010-04-11,63
2010-04-18,52
2010-04-25,48
2010-05-02,56
2010-05-09,54
2010-05-16,55
2010-05-23,52
2010-05-30,50
2010-06-06,49
2010-06-13,48
2010-06-20,47
2010-06-27,46
2010-07-04,47
2010-07-11,59
2010-07-18,47
2010-07-25,47
2010-08-01,45
2010-08-08,45
2010-08-15,43
2010-08-22,47
2010-08-29,46
2010-09-05,49
2010-09-12,48
2010-09-19,54
2010-09-26,52
2010-10-03,53
2010-10-10,69
2010-10-17,61
2010-10-24,57
2010-10-31,58
2010-11-07,56
2010-11-14,54
2010-11-21,48
2010-11-28,54
2010-12-05,56
2010-12-12,54
2010-12-19,51
2010-12-26,56
2011-01-02,68
2011-01-09,64
2011-01-16,77
2011-01-23,69
2011-01-30,68
2011-02-06,70
2011-02-13,67
2011-02-20,66
2011-02-27,69
2011-03-06,66
2011-03-13,66
2011-03-20,66
2011-03-27,67
2011-04-03,71
2011-04-10,77
2011-04-17,72
2011-04-24,68
2011-05-01,67
2011-05-08,65
2011-05-15,67
2011-05-22,66
2011-05-29,65
2011-06-05,67
2011-06-12,66
2011-06-19,66
2011-06-26,68
2011-07-03,72
2011-07-10,89
2011-07-17,78
2011-07-24,75
2011-07-31,76
2011-08-07,83
2011-08-14,81
2011-08-21,78
2011-08-28,71
2011-09-04,72
2011-09-11,74
2011-09-18,75
2011-09-25,78
2011-10-02,78
2011-10-09,91
2011-10-16,77
2011-10-23,79
2011-10-30,74
2011-11-06,83
2011-11-13,78
2011-11-20,77
2011-11-27,77
2011-12-04,77
2011-12-11,76
2011-12-18,77
2011-12-25,83
2012-01-01,79
2012-01-08,82
2012-01-15,88
2012-01-22,82
2012-01-29,89
2012-02-05,80
2012-02-12,77
2012-02-19,80
2012-02-26,80
2012-03-04,77
2012-03-11,79
2012-03-18,81
2012-03-25,84
2012-04-01,77
2012-04-08,85
2012-04-15,84
2012-04-22,83
2012-04-29,81
2012-05-06,79
2012-05-13,86
2012-05-20,85
2012-05-27,80
2012-06-03,76
2012-06-10,77
2012-06-17,77
2012-06-24,73
2012-07-01,70
2012-07-08,68
2012-07-15,74
2012-07-22,72
2012-07-29,69
2012-08-05,71
2012-08-12,71
2012-08-19,74
2012-08-26,77
2012-09-02,74
2012-09-09,77
2012-09-16,77
2012-09-23,75
2012-09-30,81
2012-10-07,77
2012-10-14,100
2012-10-21,84
2012-10-28,77
2012-11-04,74
2012-11-11,77
2012-11-18,71
2012-11-25,80
2012-12-02,68
2012-12-09,75
2012-12-16,75
2012-12-23,73
2012-12-30,75
