Category: All categories

Week,NASDAQ:AAPL: (United States)
2013-01-06,39
2013-01-13,57
2013-01-20,100
2013-01-27,54
2013-02-03,47
2013-02-10,44
2013-02-17,34
2013-02-24,37
2013-03-03,44
2013-03-10,41
2013-03-17,41
2013-03-24,35
2013-03-31,36
2013-04-07,34
2013-04-14,45
2013-04-21,69
2013-04-28,51
2013-05-05,41
2013-05-12,40
2013-05-19,38
2013-05-26,31
2013-06-02,31
2013-06-09,38
2013-06-16,29
2013-06-23,34
2013-06-30,28
2013-07-07,30
2013-07-14,30
2013-07-21,49
2013-07-28,36
2013-08-04,36
2013-08-11,51
2013-08-18,42
2013-08-25,35
2013-09-01,30
2013-09-08,62
2013-09-15,45
2013-09-22,47
2013-09-29,35
2013-10-06,34
2013-10-13,36
2013-10-20,47
2013-10-27,50
2013-11-03,32
2013-11-10,28
2013-11-17,27
2013-11-24,26
2013-12-01,39
2013-12-08,29
2013-12-15,30
2013-12-22,35
2013-12-29,26
2014-01-05,26
2014-01-12,29
2014-01-19,28
2014-01-26,48
2014-02-02,32
2014-02-09,31
2014-02-16,24
2014-02-23,27
2014-03-02,24
2014-03-09,21
2014-03-16,20
2014-03-23,22
2014-03-30,19
2014-04-06,19
2014-04-13,17
2014-04-20,47
2014-04-27,36
2014-05-04,32
2014-05-11,28
2014-05-18,29
2014-05-25,36
2014-06-01,45
2014-06-08,62
2014-06-15,38
2014-06-22,31
2014-06-29,27
2014-07-06,32
2014-07-13,36
2014-07-20,49
2014-07-27,36
2014-08-03,30
2014-08-10,28
2014-08-17,40
2014-08-24,37
2014-08-31,41
2014-09-07,69
2014-09-14,43
2014-09-21,45
2014-09-28,34
2014-10-05,32
2014-10-12,35
2014-10-19,48
2014-10-26,37
2014-11-02,33
2014-11-09,32
2014-11-16,33
2014-11-23,27
2014-11-30,30
2014-12-07,28
2014-12-14,28
2014-12-21,20
2014-12-28,20
2015-01-04,27
2015-01-11,26
2015-01-18,25
2015-01-25,55
2015-02-01,31
2015-02-08,36
2015-02-15,32
2015-02-22,37
2015-03-01,32
2015-03-08,43
2015-03-15,30
2015-03-22,25
2015-03-29,23
2015-04-05,27
2015-04-12,28
2015-04-19,31
2015-04-26,54
2015-05-03,32
2015-05-10,27
2015-05-17,28
2015-05-24,24
2015-05-31,25
2015-06-07,27
2015-06-14,22
2015-06-21,23
2015-06-28,23
2015-07-05,29
2015-07-12,31
2015-07-19,60
2015-07-26,28
2015-08-02,41
2015-08-09,39
2015-08-16,32
2015-08-23,59
2015-08-30,34
2015-09-06,39
2015-09-13,33
2015-09-20,25
2015-09-27,27
2015-10-04,23
2015-10-11,23
2015-10-18,25
2015-10-25,46
2015-11-01,28
2015-11-08,24
2015-11-15,23
2015-11-22,17
2015-11-29,20
2015-12-06,19
2015-12-13,23
2015-12-20,18
2015-12-27,16
2016-01-03,40
2016-01-10,35
2016-01-17,31
2016-01-24,52
2016-01-31,30
2016-02-07,27
2016-02-14,23
2016-02-21,24
2016-02-28,25
2016-03-06,23
2016-03-13,25
2016-03-20,27
2016-03-27,27
2016-04-03,24
2016-04-10,24
2016-04-17,23
2016-04-24,52
2016-05-01,35
2016-05-08,34
2016-05-15,34
2016-05-22,36
2016-05-29,23
2016-06-05,23
2016-06-12,23
2016-06-19,26
2016-06-26,26
2016-07-03,17
2016-07-10,22
2016-07-17,24
2016-07-24,47
2016-07-31,25
2016-08-07,25
2016-08-14,21
2016-08-21,19
2016-08-28,22
2016-09-04,30
2016-09-11,36
2016-09-18,26
2016-09-25,22
2016-10-02,18
2016-10-09,25
2016-10-16,20
2016-10-23,39
2016-10-30,19
2016-11-06,25
2016-11-13,21
2016-11-20,14
2016-11-27,15
2016-12-04,16
2016-12-11,19
2016-12-18,15
2016-12-25,12
2017-01-01,14
2017-01-08,18
2017-01-15,15
2017-01-22,20
2017-01-29,44
2017-02-05,23
2017-02-12,29
2017-02-19,20
2017-02-26,24
2017-03-05,18
2017-03-12,17
2017-03-19,21
2017-03-26,21
2017-04-02,18
2017-04-09,14
2017-04-16,16
2017-04-23,19
2017-04-30,41
2017-05-07,35
2017-05-14,26
2017-05-21,21
2017-05-28,15
2017-06-04,26
2017-06-11,27
2017-06-18,20
2017-06-25,17
2017-07-02,16
2017-07-09,18
2017-07-16,18
2017-07-23,22
2017-07-30,46
2017-08-06,26
2017-08-13,23
2017-08-20,17
2017-08-27,22
2017-09-03,16
2017-09-10,36
2017-09-17,24
2017-09-24,23
2017-10-01,17
2017-10-08,17
2017-10-15,21
2017-10-22,23
2017-10-29,41
2017-11-05,27
2017-11-12,21
2017-11-19,16
2017-11-26,26
2017-12-03,23
2017-12-10,20
2017-12-17,22
2017-12-24,19
2017-12-31,19
