Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
21-Nov-15,Brando,Brando,Carulla,Envigado,"34,100",0,0,,,,,,,,"7,800",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",,,"4,700",,,,,,,,"9,300",,,"34,100"
21-Nov-16,Brando,Brando,Jumbo,Envigado,"85,703",0,0,,,"47,933",,,,"33,980","3,790",,,,,,,,,,,,,,,,,,,,,,,,,,,"20,990",,,,,,,,,,,,,,,,,,,,,"11,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,703"
21-Nov-19,Brando,Brando,Jumbo,Envigado,"91,885",0,0,,,,,,,"20,780","15,160",,,,,,,,,,,,,,,,,,,,,,,,,,,"14,325",,,,,,,,,,,,,,,,,,,,,"2,131",,,,,,,,,,,,,,,,,,,,"21,980","23,590",,,,,,,153,,"91,885"
21-Nov-24,Brando,Brando,Jumbo,Envigado,"169,714",0,0,,,"62,673",,,,"33,580","15,960",,,,,,,,,,,,,,,,,,,,,,,,,,,"14,998",,,,,,,,,,,,,,,,,,,,,"13,223",,,,,,,,,,,,,,,,"25,170",,,,"8,390",,,,,,,,153,,"169,714"
21-Nov-28,los_dos,Vane,Jumbo,Envigado,"47,401",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,,,,,,,,,"40,400",,,,,,,,,,,,,,,,,,,,"47,401"
21-Nov-29,Brando,Brando,Jumbo,Envigado,"94,519","9,900",0,,,,,,,"21,980","21,990","8,590",,,,,,,,,,,,,,,,,,,,,,,,,,"10,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,980",,,"7,990",,,,,,,,,51,,"84,619"
21-Dec-02,los_dos,Brando,Jumbo,Envigado,"131,039",0,0,,,,,,,"9,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,136",,,,,,,,,,"21,681",,,,,,"11,180",,,,,,,,,,,,102,,"131,039"
21-Dec-05,Brando,Brando,Turbo,Envigado,"49,676","9,310",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,,,,,,,,,,,,,,,,,,,,,,,,,"28,400",,"11,000",,,"40,366"
21-Dec-06,Brando,Brando,Jumbo,Envigado,"97,002","12,990",0,,,,,,,"25,980","23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,"26,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,590","16,780",,,,,,,,51,,"84,012"
21-Dec-08,los_dos,Brando,Jumbo,Envigado,"126,724",0,"8,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,980",,,,,,,,"43,580",,,"53,970",204,,"117,734"
21-Dec-13,los_dos,Brando,Jumbo,Envigado,"147,183",0,0,,,,,,"25,607","9,990","21,790",,,,,,,,,,,,,,,,,,,,,,,,,,,"37,361",,,,,,,,,,,,,,,,,,,,,"3,847",,,,,,,,,,,,,,,,"20,170",,,"16,380",,,,,"6,990",,,,,,"147,183"
21-Dec-17,Brando,Brando,Jumbo,Envigado,"115,547",0,0,,,,,,,"21,980","23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,"41,113",,,,,,,,,,,,,,,,,,,,,"4,038",,,,,,,,,,,,,,,,"13,580",,,"4,590",,,,,,,,,204,,"115,547"
21-Dec-18,los_dos,Brando,Jumbo,Envigado,"65,450",0,0,,,,,,"42,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,812",,,,,,,,,,"12,840",,,,,,,,,,"8,390",,,,,,,,51,,"65,450"
21-Dec-24,los_dos,Brando,Jumbo,Envigado,"276,667","83,120",0,,"143,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,407",,,,,,,,,,,,,,,,,,,,,"25,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,"50,180"
21-Dec-24,Brando,Brando,Jumbo,Envigado,"231,957",0,0,,"10,590","64,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,452",,,,,,,,,,,,,,,,,,,,,"13,650",,,,,,,,,,"24,518",,,,,,"27,290",,,"4,590","8,390","23,590",,,,,,,204,,"221,367"
21-Dec-26,los_dos,Brando,Jumbo,Envigado,"31,951",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,951"
