Category: All categories

Week,find work: (United States)
2008-01-06,51
2008-01-13,54
2008-01-20,48
2008-01-27,47
2008-02-03,54
2008-02-10,55
2008-02-17,35
2008-02-24,56
2008-03-02,48
2008-03-09,56
2008-03-16,48
2008-03-23,51
2008-03-30,36
2008-04-06,64
2008-04-13,53
2008-04-20,68
2008-04-27,41
2008-05-04,47
2008-05-11,44
2008-05-18,38
2008-05-25,47
2008-06-01,42
2008-06-08,48
2008-06-15,55
2008-06-22,47
2008-06-29,37
2008-07-06,36
2008-07-13,49
2008-07-20,44
2008-07-27,37
2008-08-03,50
2008-08-10,41
2008-08-17,48
2008-08-24,43
2008-08-31,56
2008-09-07,51
2008-09-14,52
2008-09-21,57
2008-09-28,52
2008-10-05,46
2008-10-12,55
2008-10-19,64
2008-10-26,50
2008-11-02,59
2008-11-09,64
2008-11-16,41
2008-11-23,52
2008-11-30,53
2008-12-07,58
2008-12-14,60
2008-12-21,46
2008-12-28,58
2009-01-04,63
2009-01-11,63
2009-01-18,69
2009-01-25,57
2009-02-01,67
2009-02-08,58
2009-02-15,53
2009-02-22,76
2009-03-01,70
2009-03-08,52
2009-03-15,61
2009-03-22,56
2009-03-29,56
2009-04-05,49
2009-04-12,62
2009-04-19,59
2009-04-26,48
2009-05-03,65
2009-05-10,50
2009-05-17,53
2009-05-24,57
2009-05-31,63
2009-06-07,63
2009-06-14,55
2009-06-21,62
2009-06-28,49
2009-07-05,58
2009-07-12,66
2009-07-19,55
2009-07-26,56
2009-08-02,68
2009-08-09,60
2009-08-16,57
2009-08-23,55
2009-08-30,62
2009-09-06,73
2009-09-13,61
2009-09-20,67
2009-09-27,58
2009-10-04,57
2009-10-11,70
2009-10-18,56
2009-10-25,71
2009-11-01,63
2009-11-08,68
2009-11-15,64
2009-11-22,47
2009-11-29,61
2009-12-06,53
2009-12-13,57
2009-12-20,55
2009-12-27,59
2010-01-03,61
2010-01-10,61
2010-01-17,71
2010-01-24,72
2010-01-31,65
2010-02-07,74
2010-02-14,75
2010-02-21,82
2010-02-28,64
2010-03-07,67
2010-03-14,72
2010-03-21,63
2010-03-28,66
2010-04-04,67
2010-04-11,67
2010-04-18,76
2010-04-25,69
2010-05-02,55
2010-05-09,58
2010-05-16,66
2010-05-23,61
2010-05-30,46
2010-06-06,58
2010-06-13,80
2010-06-20,76
2010-06-27,56
2010-07-04,70
2010-07-11,58
2010-07-18,58
2010-07-25,49
2010-08-01,58
2010-08-08,54
2010-08-15,62
2010-08-22,51
2010-08-29,60
2010-09-05,53
2010-09-12,63
2010-09-19,68
2010-09-26,70
2010-10-03,67
2010-10-10,79
2010-10-17,73
2010-10-24,57
2010-10-31,61
2010-11-07,78
2010-11-14,62
2010-11-21,50
2010-11-28,61
2010-12-05,72
2010-12-12,55
2010-12-19,50
2010-12-26,54
2011-01-02,68
2011-01-09,76
2011-01-16,81
2011-01-23,83
2011-01-30,75
2011-02-06,79
2011-02-13,80
2011-02-20,72
2011-02-27,79
2011-03-06,85
2011-03-13,69
2011-03-20,73
2011-03-27,88
2011-04-03,67
2011-04-10,80
2011-04-17,79
2011-04-24,72
2011-05-01,73
2011-05-08,76
2011-05-15,76
2011-05-22,85
2011-05-29,80
2011-06-05,74
2011-06-12,72
2011-06-19,67
2011-06-26,62
2011-07-03,73
2011-07-10,63
2011-07-17,66
2011-07-24,62
2011-07-31,69
2011-08-07,63
2011-08-14,57
2011-08-21,68
2011-08-28,63
2011-09-04,64
2011-09-11,73
2011-09-18,69
2011-09-25,81
2011-10-02,82
2011-10-09,91
2011-10-16,99
2011-10-23,91
2011-10-30,81
2011-11-06,91
2011-11-13,89
2011-11-20,71
2011-11-27,80
2011-12-04,97
2011-12-11,78
2011-12-18,65
2011-12-25,72
2012-01-01,78
2012-01-08,78
2012-01-15,84
2012-01-22,80
2012-01-29,87
2012-02-05,88
2012-02-12,81
2012-02-19,91
2012-02-26,88
2012-03-04,90
2012-03-11,78
2012-03-18,82
2012-03-25,73
2012-04-01,68
2012-04-08,82
2012-04-15,86
2012-04-22,90
2012-04-29,81
2012-05-06,94
2012-05-13,84
2012-05-20,84
2012-05-27,84
2012-06-03,87
2012-06-10,77
2012-06-17,78
2012-06-24,84
2012-07-01,83
2012-07-08,88
2012-07-15,75
2012-07-22,73
2012-07-29,77
2012-08-05,78
2012-08-12,72
2012-08-19,73
2012-08-26,81
2012-09-02,81
2012-09-09,91
2012-09-16,95
2012-09-23,100
2012-09-30,95
2012-10-07,88
2012-10-14,98
2012-10-21,87
2012-10-28,90
2012-11-04,88
2012-11-11,89
2012-11-18,63
2012-11-25,92
2012-12-02,90
2012-12-09,97
2012-12-16,76
2012-12-23,74
2012-12-30,70
